,ru_name,en_name,year,rating,ratings_number,length
0,Стрингер,Nightcrawler,2013,7.361,207200,118
1,Догвилль,Dogville,2003,7.989,177638,178
2,Олдбой,Oldeuboi,2003,8.072,218451,120
3,Бойцовский клуб,Fight Club,1999,8.668,993452,139
4,Исчезнувшая,Gone Girl,2014,7.96,601511,149
5,Реквием по мечте,Requiem for a Dream,2000,8.0,370235,102
6,В поисках Немо,Finding Nemo,2003,7.938,357939,101
7,Рататуй,Ratatouille,2007,8.048,763577,111
8,Начало,Inception,2010,8.665,968178,148
9,Головоломка,Inside Out,2015,8.075,610165,95
10,ВАЛЛ·И,WALL·E,2008,8.364,680006,98
11,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,7.938,503254,100
12,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,8.512,596614,125
13,Малхолланд Драйв,Mulholland Dr.,2001,7.667,157802,147
14,Солнцестояние,Midsommar,2019,6.435,288309,148
15,"Дом, который построил Джек",The House That Jack Built,2018,7.015,225130,152
16,Меланхолия,Melancholia,2011,7.032,115231,130
17,Пи,Pi,1997,7.511,41194,84
18,Седьмая печать,Det sjunde inseglet,1957,8.068,38812,96
19,Антихрист,Antichrist,2009,6.644,65064,108
20,Неоновый демон,The Neon Demon,2016,6.126,122936,117
21,Донни Дарко,Donnie Darko,2001,7.603,176135,113
22,Господин Никто,Mr. Nobody,2009,7.915,301395,138
23,Драйв,Drive,2011,7.259,552098,100
24,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,8.607,573084,179
25,Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,2001,8.274,975680,152
26,Шрэк,Shrek,2001,8.169,813477,90
27,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,8.611,656996,178
28,"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,2003,7.935,66080,103
29,Платформа,El hoyo,2019,7.111,225992,94
30,Груз 200, ,2007,6.711,285343,90
31,Убить Билла,Kill Bill: Vol. 1,2003,7.69,303510,111
32,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,8.663,586151,201
33,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,8.23,664990,142
34,Психо,Psycho,1960,8.077,131848,109
35,Таксист,Taxi Driver,1976,7.763,181566,114
36,Бегущий по лезвию,Blade Runner,1982,7.73,196271,117
37,Зеленая миля,The Green Mile,1999,9.075,968645,189
38,Форрест Гамп,Forrest Gump,1994,8.921,891242,142
39,Остров проклятых,Shutter Island,2009,8.525,937412,138
40,Машинист,The Machinist,2003,7.574,121722,97
41,Американский психопат,American Psycho,2000,7.152,203186,102
42,Заводной апельсин,A Clockwork Orange,1971,7.901,167225,137
43,Забавные игры,Funny Games,1997,7.325,24112,108
44,Лестница Иакова,Jacob's Ladder,1990,7.532,32832,113
45,Видео Бенни,Benny's Video,1992,7.104,4429,110
46,Молчание ягнят,The Silence of the Lambs,1990,8.335,520714,118
47,"Ганнибал (сериал, 2013 ",Hannibal,2015,8.051,171806,43
48,"Шерлок (сериал, 2010 ",Sherlock,2017,8.857,626812,90
49,"Доктор Хаус (сериал, 2004 ","House, M.D.",2012,8.795,495453,43
50,Головоломка,Inside Out,2015,8.075,610167,95
51,ВАЛЛ·И,WALL·E,2008,8.364,680007,98
52,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,7.938,503255,100
53,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,8.512,596614,125
54,Малхолланд Драйв,Mulholland Dr.,2001,7.667,157802,147
55,Солнцестояние,Midsommar,2019,6.435,288312,148
56,"Дом, который построил Джек",The House That Jack Built,2018,7.015,225132,152
57,Меланхолия,Melancholia,2011,7.032,115231,130
58,Пи,Pi,1997,7.511,41194,84
59,Седьмая печать,Det sjunde inseglet,1957,8.068,38812,96
60,Антихрист,Antichrist,2009,6.644,65064,108
61,Неоновый демон,The Neon Demon,2016,6.126,122936,117
62,Олдбой,Oldeuboi,2003,8.072,218452,120
63,Догвилль,Dogville,2003,7.989,177639,178
64,Стрингер,Nightcrawler,2013,7.361,207201,118
65,Донни Дарко,Donnie Darko,2001,7.603,176135,113
66,Господин Никто,Mr. Nobody,2009,7.915,301396,138
