,ru_name,en_name,year,rating,ratings_number,length
0,Стена,Pink Floyd: The Wall,1982,8119,39732,99
1,Шоссе в никуда,Lost Highway,1996,7428,48803,134
2,Гордость и предубеждение,Pride & Prejudice,2005,8086,388371,129
3,Отвращение,Repulsion,1965,7621,16771,105
4,Ребенок Розмари,Rosemary's Baby,1968,7663,43521,137
5,Нимфоманка: Часть 1,Nymphomaniac: Vol. I,2013,7054,127203,117
6,Фанни и Александр,Fanny och Alexander,1982,7912,15044,188
7,Собаки не носят штанов,Koirat eivät käytä housuja,2019,6533,8487,105
8,Убийство священного оленя,"Killing of a Sacred Deer, The",2017,6802,87740,121
9,Паразиты,Gisaengchung,2019,8019,605277,131
10,Старикам тут не место,No Country for Old Men,2007,7809,378483,122
11,Джокер,Joker,2019,7983,599886,122
12,Побудь в моей шкуре,Under the Skin,2013,5817,37087,108
13,Пианист,"Pianist, The",2002,8466,372900,149
14,"4 месяца, 3 недели и 2 дня","4 luni, 3 saptamâni si 2 zile",2007,7198,11049,113
15,Головокружение,Vertigo,1958,7919,49871,128
16,Расёмон,Rashomon,1950,7959,33208,88
17,Крестный отец,"Godfather, The",1972,8705,387163,175
18,Суспирия,Suspiria,1977,6992,14900,98
19,Птицы,"Birds, The",1963,7550,41115,119
20,Планета Ка-Пэкс,K-PAX,2001,8019,198094,120
21,Соломенные псы,Straw Dogs,1971,7688,14577,113
22,Страх,Angst,1983,7024,2909,87
23,Человек кусает собаку,C'est arrivé près de chez vous,1992,7188,8793,95
24,Клетка,"Cell, The",2000,7052,47021,107
