,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
0,Нефть,There Will Be Blood,2007,158,США,драма,Пол Томас Андерсон,"['Дэниэл Дэй-Льюис', 'Пол Дано']",7.8,134935
1,Малхолланд Драйв,Mulholland Dr.,2001,147,США,триллер,Дэвид Линч,"['Наоми Уоттс', 'Лаура Хэрринг']",7.7,157850
2,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,125,Япония,аниме,Хаяо Миядзаки,"['Руми Хиираги', 'Мию Ирино']",8.5,596884
3,Догвилль,Dogville,2003,178,Дания,триллер,Ларс фон Триер,"['Николь Кидман', 'Пол Беттани']",8.0,177753
4,Аватар,Avatar,2009,162,США,фантастика,Джеймс Кэмерон,"['Сэм Уортингтон', 'Зои Салдана']",8.0,1070216
5,Старикам тут не место,No Country for Old Men,2007,122,США,триллер,Итан Коэн,"['Томми Ли Джонс', 'Джош Бролин']",7.8,378568
6,Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,108,США,мелодрама,Мишель Гондри,"['Джим Керри', 'Кейт Уинслет']",8.0,460457
7,Безумный Макс: Дорога ярости,Mad Max: Fury Road,2015,120,Австралия,боевик,Джордж Миллер,"['Том Харди', 'Шарлиз Терон']",7.8,392567
8,Начало,Inception,2010,148,США,фантастика,Кристофер Нолан,"['Леонардо ДиКаприо', 'Джозеф Гордон-Левитт']",8.7,968400
9,Однажды в… Голливуде,Once Upon a Time in...  Hollywood,2019,161,США,драма,Квентин Тарантино,"['Леонардо ДиКаприо', 'Брэд Питт']",7.7,602182
10,Паразиты,Gisaengchung,2019,131,Корея Южная,драма,Пон Джун-хо,"['Сон Кан-хо', 'Ли Сон-гюн']",8.0,605876
11,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,178,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Иэн Маккеллен']",8.6,657171
12,Олдбой,Oldeuboi,2003,120,Корея Южная,триллер,Пак Чхан-ук,"['Чхве Мин-сик', 'Ю Джи-тхэ']",8.1,218644
13,Интерстеллар,Interstellar,2014,169,США,фантастика,Кристофер Нолан,"['Мэттью Макконахи', 'Энн Хэтэуэй']",8.6,949124
14,Темный рыцарь,The Dark Knight,2008,152,США,фантастика,Кристофер Нолан,"['Кристиан Бэйл', 'Хит Леджер']",8.5,714290
15,Ла-Ла Ленд,La La Land,2016,128,США,мюзикл,Дэмьен Шазелл,"['Райан Гослинг', 'Эмма Стоун']",8.0,345790
