,ru_name,en_name,country,year,genre,rating,imdb_rating
0,Зеленая миля,The Green Mile,['США'],1999,"['драма', 'детектив', 'криминал', 'фэнтези']",8.9,8.6
1,Побег из Шоушенка,The Shawshank Redemption,['США'],1994,"['драма', 'криминал']",8.8,9.3
2,Иван Васильевич меняет профессию,,['СССР'],1973,"['комедия', 'приключения', 'семейный', 'фантастика']",8.7,8.2
3,Бриллиантовая рука,,['СССР'],1968,"['комедия', 'криминал', 'приключения', 'семейный']",8.6,8.3
4,Операция «Ы» и другие приключения Шурика,,['СССР'],1965,['комедия'],8.6,8.5
5,Форрест Гамп,Forrest Gump,['США'],1994,"['драма', 'мелодрама', 'комедия', 'военный', 'исторический']",8.6,8.8
6,В бой идут одни «старики»,,['СССР'],1973,"['драма', 'комедия', 'военный']",8.6,8.2
7,Джентльмены удачи,,['СССР'],1971,"['драма', 'комедия', 'детектив', 'криминал']",8.5,8.3
8,А зори здесь тихие,,['СССР'],1972,"['драма', 'военный', 'исторический']",8.5,8.1
9,Они сражались за Родину,,['СССР'],1975,"['драма', 'военный', 'исторический']",8.5,7.7
10,Офицеры,,['СССР'],1971,"['драма', 'мелодрама', 'военный']",8.5,7.5
11,1+1,Intouchables,['Франция'],2011,"['драма', 'комедия', 'биография']",8.4,8.5
12,"Кавказская пленница, или Новые приключения Шурика",,['СССР'],1966,"['мелодрама', 'комедия', 'музыкальный', 'приключения', 'семейный']",8.4,8.3
13,Москва слезам не верит,,['СССР'],1979,"['драма', 'мелодрама', 'комедия']",8.4,8.0
14,Служебный роман,,['СССР'],1977,"['мелодрама', 'комедия']",8.4,8.2
15,Шерлок Холмс и доктор Ватсон: Собака Баскервилей,,['СССР'],1981,"['детектив', 'криминал']",8.4,8.5
16,Список Шиндлера,Schindler's List,['США'],1993,"['драма', 'биография', 'исторический']",8.4,9.0
17,Леон,Leon,['Франция'],1994,"['драма', 'триллер', 'криминал']",8.3,8.5
18,Любовь и голуби,,['СССР'],1984,"['мелодрама', 'комедия']",8.3,7.9
19,Гладиатор,Gladiator,"['США', 'Великобритания']",2000,"['драма', 'боевик']",8.3,8.5
20,Достучаться до небес,Knockin' on Heaven's Door,['Германия'],1997,"['драма', 'криминал']",8.3,7.8
21,Собачье сердце,,['СССР'],1988,"['драма', 'комедия', 'фантастика']",8.3,8.6
22,Король Лев,The Lion King,['США'],1994,"['драма', 'мультфильмы', 'мюзикл', 'приключения', 'семейный']",8.3,8.5
23,Крестный отец,The Godfather,['США'],1972,"['драма', 'криминал']",8.3,9.2
24,Назад в будущее,Back to the Future,['США'],1985,"['комедия', 'приключения', 'фантастика']",8.3,8.5
25,Шерлок Холмс и доктор Ватсон: Знакомство,,['СССР'],1979,"['детектив', 'криминал']",8.3,8.5
